"pronoun"	"verb"	"context"	"filename"
"26505"	"I"	"continued"	" That being the case, I continued, the question must be whether Iliescu will have the ability to translate his vision into reality. </P> "	"nyt_eng_199506.gz"
"26694"	"she"	"continued"	" A woman discharged too early after birth, she continued, ``is going to come back to the hospital time and time again with more serious problems.'' </P> "	"nyt_eng_199506.gz"
"27310"	"she"	"continued"	" Still, she continued, after missing the public meeting two school board members did not return phone calls informing them of Monday night's emergency meeting; one said he would attend but did not, and two ``indicated to me that there was no need to call an emergency meeting.'' </P> "	"nyt_eng_199507.gz"
"28336"	"I"	"continued"	" Listen to this. Yesterday, I heard myself explaining, with a perfectly straight face, that every time there's an outage, we have to re-set the buttons on our fax and answering machines. And imagine, I continued, some of these people live like this all year round. </P> "	"nyt_eng_199507.gz"
"28644"	"she"	"continued"	" `` Minnesota always felt warm and welcoming, a place where you could be yourself,'' she said. But within months, she continued, she felt she was living in ``a prison made out of windows,'' adding, ``Gossip can be all over town in 15 minutes.'' Branded ``Wild Child`` on the cover of Mpls. St. Paul magazine, she left her job as a reporter at the Twin Cities CBS-TV affiliate and moved back to Los Angeles, where she is now the host of ``Q &AMP; E`` on the E! cable channel. ``Minneapolis still kind of gives me the creeps,'' she said. ``What I love about L.A. is that I can be invisible.'' Repotted adults often build parts of the metropolis into their new lives. Mr. Bolender, who now wears a Yankees cap to Mariner games, lives with his wife in a loft in Seattle and can walk to work, which he said was one of the things he loved about living in Manhattan. </P> "	"nyt_eng_199507.gz"
"29283"	"he"	"continued"	" Section chiefs, he continued, are seasoned masters of dealing with legislators who can turn snappish under great pressures to produce immediate solutions to a problem. </P> "	"nyt_eng_199507.gz"
"30508"	"he"	"continued"	" Towbin, he continued, ``is a good man and did a fine job.'' </P> "	"nyt_eng_199508.gz"
"30527"	"he"	"continued"	" Keith Wheeler, writing for the Time-Life World War II history series, gave this account: The old man pointed out that their discussion had shown an unbridgeable divergence of views. So, he continued, ``We have no precedent _ and I find it difficult to do _ but with the greatest reverence, I must now ask the emperor to express his wishes.'' </P> "	"nyt_eng_199508.gz"
"30958"	"he"	"continued"	" ``Individual investors are in the market up to here,'' Vinik said in June, marking his kneecap with his hand. Then, running his hand across his chest, he continued, ``They are going up to here. Stock funds are going to get a lot more money over the next two years.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950811.0460 type=story > <HEADLINE> CLINTON'S MAN FOR THE BALKANS SAYS NO ONE LISTENS TO HIM </HEADLINE> <DATELINE> WASHINGTON (BC-YUGOSLAVIA-HOLBROOKE-ART-665&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"30968"	"he"	"continued"	" ``Individual investors are in the market up to here,'' Vinik said in June, marking his kneecap with his hand. Then, running his hand across his chest, he continued, ``They are going up to here. Stock funds are going to get a lot more money over the next two years.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950811.0502 type=story > <HEADLINE> KNIGHT, KUEHNE IN WOMEN'S AMATEUR FINAL </HEADLINE> <DATELINE> BROOKLINE, Mass. (BC-GLF-WOMAM-BOS) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"31866"	"he"	"continued"	" That movement, he continued, ``has been followed by the AIDS epidemic, and that has been another one that got people looking at their treatment as active participants, active consumers.'' </P> "	"nyt_eng_199508.gz"
"32433"	"he"	"continued"	" National City, he continued, had been interested in acquiring Integra since it merged with Equimark, another Pittsburgh-based banking company, about three years ago. </P> "	"nyt_eng_199508.gz"
"32848"	"he"	"continued"	" Yet, he continued, ``Lois &AMP; Clark'' made twice the advertising money for ABC as ``Murder'' made for CBS. </P> "	"nyt_eng_199509.gz"
"32923"	"she"	"continued"	" After a moment, she continued, Fuhrman resumed his invective. ``And then he said, `If I had my way, I'd gather _ all the niggers in the world would be gathered together and burned.'' Ms. Bell called the remark ``probably the most horrible thing I had ever heard someone say,'' adding, ``What frightened me even more was that he was a police officer.'' </P> "	"nyt_eng_199509.gz"
"33029"	"he"	"continued"	" ``The only place getting fair value and relative return on investment right now is the short end,'' Roden said. ``Those who run balanced money portfolios, with cash in short maturities and cash in longer maturies are finding it tougher and tougher each day, he continued, and will soon have to decide how to deploy cash that is building up. </P> "	"nyt_eng_199509.gz"
"33591"	"he"	"continued"	" Powell, who writes in his autobiography that he turned down offers from President Clinton to become secretary of State, said in the interview that he was ``not a fan of the manner in which foreign policy issues are hammered out in this administration.'' There is, he continued, ``too much tactical judging from day to day and week to week.'' </P> "	"nyt_eng_199509.gz"
