"pronoun"	"verb"	"context"	"filename"
"30589"	"he"	"conceded"	" Yes, he conceded, it was a bit odd to be kissing a stranger while on a date with your financee. </P> "	"nyt_eng_199508.gz"
"31842"	"he"	"conceded"	" Jones' ever-present smile took some of the edge off his harsh words. But his tough-guy talk, he conceded, is aimed at adding a harder edge to a Baylor defense that allowed 361.9 yards per game last season, including a Southwest Conference-high 213.7 passing. </P> "	"nyt_eng_199508.gz"
"32465"	"he"	"conceded"	" Lee conceded that back when the Connecticut crime laboratory was in a men's room, he used paper towels in lieu of more acceptable blotting paper. He also used the great outdoors to dry materials; in one instance, he conceded, a dog absconded with a rape victim's underwear. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950828.0610 type=story > <HEADLINE> EDITORIAL: RESTARTING THE BOSNIAN PEACE TALKS </HEADLINE> <DATELINE>  (BC-EDIT-YUGOSLAVIA-TALKS-NYT) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"32799"	"he"	"conceded"	" Police Cmdr. Dennis Martel said the goal isn't to shuffle people among neighborhoods, but to move them off the streets and into shelters or more permanent housing. However, he conceded, ``obviously, at least for the time being, a lot of people are going to go to other places.'' </P> "	"nyt_eng_199509.gz"
"33391"	"he"	"conceded"	" An independent candidacy, he conceded, would be difficult, because the candidate would get no federal matching funds yet would be subject to the same $1,000-per-person limit on individual campaign contributions. </P> "	"nyt_eng_199509.gz"
"34092"	"he"	"conceded"	" Such provisions, he conceded, did not favor Southern states, which spend less on welfare programs, but were necessary to avoid encouraging ``a race to the bottom'' by states which could precipitously cut benefits. </P> "	"nyt_eng_199509.gz"
"35719"	"he"	"conceded"	" Schuppisser said he has received a trademark and is warning competitors not to use the slogan. But, he conceded, there's not much he can do to stop them in the midst of a feverish playoff environment. </P> "	"nyt_eng_199510.gz"
"37033"	"he"	"conceded"	" People generally don't want the Klan glorified, he conceded, or religious icons apparently desecrated or death made beautiful. </P> "	"nyt_eng_199510.gz"
"38223"	"he"	"conceded"	" But, he conceded, ``we know we're not going to come out of Dayton with what we're going in with. It's not going to be that easy.'' </P> "	"nyt_eng_199510.gz"
"39242"	"he"	"conceded"	" Eventually, he conceded, he'll probably institute some fees. But he expects to profit more by selling the search engine for the service to other businesses. </P> "	"nyt_eng_199511.gz"
"45042"	"she"	"conceded"	" Officials at Beacon Management said they don't believe they hurt the environment either. The offending snow came from the public walkway on Rowes Wharf, explained spokeswoman Monique Spencer, and ``there's not a lot of difference between what falls on the sidewalk and what falls in the harbor.'' Yes, she conceded, there was a smidgen of asphalt in the mix, too. </P> "	"nyt_eng_199601.gz"
"45144"	"they"	"conceded"	" As they showed their wares to visitors, the developers made clear their preference for the Mac over any computer made using Microsoft Corp.'s operating system. But they can stomach creating software for Windows 95, they conceded, because it is better made than past Microsoft operating systems. </P> "	"nyt_eng_199601.gz"
"45673"	"they"	"conceded"	" As they showed their wares to visitors, the developers made clear their preference for the Mac over any computer made using Microsoft Corp.'s operating system. But they can stomach creating software for Windows 95, they conceded, because it is better made than past Microsoft operating systems. </P> "	"nyt_eng_199601.gz"
"45680"	"he"	"conceded"	" His opinion might have changed, he conceded, if he had been allowed to question O'Brien about his activities on the night Janet Downing was slashed more than 90 times. </P> "	"nyt_eng_199601.gz"
"45988"	"he"	"conceded"	" Bunstine said that the reports of lagging or nonexistent payments were exaggerated, and that in fact, Barneys has floated a lot of young designers by lending them money. ``There are a lot of people we totally take care of,'' he said. But, he conceded, ``we were not always good at managing accounts payable, but we're past that now.'' </P> "	"nyt_eng_199601.gz"
"46687"	"he"	"conceded"	" ``We won't forget the basics,'' Faratzis said, in a standard comment considering so much equipment on hand. The dilemma, he conceded, is offering material that will be fresh to nonfans watching without irritating regular viewers. </P> "	"nyt_eng_199601.gz"
"48986"	"she"	"conceded"	" But even worse, she conceded, was the silence that followed. </P> "	"nyt_eng_199602.gz"
"49267"	"he"	"conceded"	" ``We have confidence that the United States will continue to be well, if not brilliantly, represented,'' said Burns. But, he conceded, ``We know that there's a lot on our shoulders.'' </P> "	"nyt_eng_199602.gz"
"49897"	"he"	"conceded"	" Even the semiconductors, he conceded, were imported only because of the 1986 semiconductor trade agreement. </P> "	"nyt_eng_199602.gz"
"49935"	"he"	"conceded"	" Even the semiconductors, he conceded, were imported only because of the 1986 semiconductor trade agreement. </P> "	"nyt_eng_199602.gz"
"50178"	"he"	"conceded"	" Dole, he conceded, does not make the case nearly as vigorously. </P> "	"nyt_eng_199602.gz"
"50549"	"he"	"conceded"	" While the NTT avatar technology today uses a network of PCs placed in publicareas, to be successful it must be available on home computers, Suzuki said. That, he conceded, will not happen for at least several years. </P> "	"nyt_eng_199603.gz"
"51948"	"he"	"conceded"	" Taylor, however, accused environmental groups of misleading the public on the issue. He said the appeals process had been abused. And he maintained that the new timber law has not resulted in any increased logging of healthy or ``green'' trees. Some healthy trees in the Pacific Northwest have been harvested, he conceded, but that sale was part of a separate program that had been cleared by the Clinton administration. </P> "	"nyt_eng_199603.gz"
"51992"	"he"	"conceded"	" Taylor, however, accused environmental groups of misleading the public on the issue. He said the appeals process had been abused. And he maintained that the new timber law has not resulted in any increased logging of healthy or ``green'' trees. Some healthy trees in the Pacific Northwest have been harvested, he conceded, but that sale was part of a separate program that had been cleared by the Clinton administration. </P> "	"nyt_eng_199603.gz"
"52285"	"he"	"conceded"	" Clearly frustrated, Fauci issued a report in November, outlining his strategy for vaccine development. In it, he conceded, ``Market forces do not foster a desirable level of private sector activity in vaccine research and development.'' </P> "	"nyt_eng_199603.gz"
"61613"	"he"	"conceded"	" But, he conceded, he had been unable to persuade City Hall to restore the bulk of the cuts from the previous two years _ cuts that he acknowledged were substantial. </P> "	"nyt_eng_199606.gz"
"62406"	"he"	"conceded"	" Rifkind also said the European leaders here had agreed to let Britain sell beef to non-European countries if anybody wanted to buy it before the general embargo was lifted. Only South Africa, he conceded, had expressed any interest. </P> "	"nyt_eng_199606.gz"
"62557"	"she"	"conceded"	" At the same time, she conceded, some of her sergeants have until recently given directives to officers not to haul drivers to jail. </P> "	"nyt_eng_199606.gz"
